Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number",," Both males and females 20 YEARS - 69 YEARS",,,,,,,,,,,
URDHVOLM,"Volume of AM Collections","Volume of AM Collections",," Both males and females 20 YEARS - 69 YEARS",,,,,,,,,,,
URDHVOLE,"Volume of PM Collections","Volume of PM Collections",," Both males and females 20 YEARS - 69 YEARS",,,,,,,,,,,
URDDAYM ,"Day of the Week (AM Collection)","Day of the Week (AM Collection)",," Both males and females 20 YEARS - 69 YEARS",,,obo:UO_0000034,,,,,,,,
URDDAYE ,"Day of the Week (PM Collection)","Day of the Week (PM Collection)",," Both males and females 20 YEARS - 69 YEARS",,,obo:UO_0000034,,,,,,,,
URDDBUHM,"# of days b/w AM HUC and 24-hour urine","Number of days between the day of the morning home urine collection and the first 24-hour urine collection",," Both males and females 20 YEARS - 69 YEARS",sio:Quantity,,uberon:0001088,,,,,,,,
URDDBUHE,"# of days b/w PM HUC and 24-hour urine","","Number of days between the day of the evening home urine collection and the first 24-hour urine collection"," Both males and females 20 YEARS - 69 YEARS",sio:Quantity,,uberon:0001088,,,,,,,,
URDHCSTS,"HUC Status Code","HUC Status Code",," Both males and females 20 YEARS - 69 YEARS",sio:StatusDescriptor,,,,,,,,,,
URHNAMSI,"Sodium, Urine AM Collection (mmol/L)","Sodium, Urine AM Collection (mmol/L)",," Both males and females 20 YEARS - 69 YEARS",,,chear:millimole_per_liter,,,,,,,,
URHNAM,"Sodium, Urine AM Collection (mg/dL)","Sodium, Urine AM Collection (mg/dL)",," Both males and females 20 YEARS - 69 YEARS",,,chear:milligram_per_deciliter,,,,,,,,
URDNAMLC,"Sodium, Urine AM Comment Code","Sodium, Urine AM Comment Code",," Both males and females 20 YEARS - 69 YEARS",,,uberon:0001088,,,,,,,,
URHKMSI,"Potassium, Urine AM Collection (mmol/L)","Potassium, Urine AM Collection (mmol/L)",," Both males and females 20 YEARS - 69 YEARS",,,chear:millimole_per_liter,,,,,,,,
URHKM   ,"Potassium, Urine AM Collection (mg/dL)","Potassium, Urine AM Collection (mg/dL)",," Both males and females 20 YEARS - 69 YEARS",,,chear:milligram_per_deciliter,,,,,,,,
URDKMLC ,"Potassium, Urine AM Comment Code","Potassium, Urine AM Comment Code",," Both males and females 20 YEARS - 69 YEARS",,,uberon:0001088,,,,,,,,
URHCLMSI,"Chloride, Urine AM Collection (mmol/L)","Chloride, Urine AM Collection (mmol/L)",," Both males and females 20 YEARS - 69 YEARS",,,chear:millimole_per_liter,,,,,,,,
URHCLM ,"Chloride, Urine AM Collection (mg/dL)","Chloride, Urine AM Collection (mg/dL)",," Both males and females 20 YEARS - 69 YEARS",,,chear:milligram_per_deciliter,,,,,,,,
URDCLMLC,"Chloride, Urine AM Comment Code","Chloride, Urine AM Comment Code",," Both males and females 20 YEARS - 69 YEARS",,,uberon:0001088,,,,,,,,
URHCRM  ,"Creatinine, Urine AM Collection (mg/dL)","Creatinine, Urine AM Collection (mg/dL)",," Both males and females 20 YEARS - 69 YEARS",,,chear:milligram_per_deciliter,,,,,,,,
URHNAESI,"Sodium, Urine PM Collection (mmol/L)","Sodium, Urine PM Collection (mmol/L)",," Both males and females 20 YEARS - 69 YEARS",,,chear:millimole_per_liter,,,,,,,,
URHNAE  ,"Sodium, Urine PM Collection (mg/dL)","Sodium, Urine PM Collection (mg/dL)",," Both males and females 20 YEARS - 69 YEARS",,,chear:milligram_per_deciliter,,,,,,,,
URDNAELC,"Sodium, Urine PM Comment Code","Sodium, Urine PM Comment Code",," Both males and females 20 YEARS - 69 YEARS",,,uberon:0001088,,,,,,,,
URHKESI,"Potassium, Urine PM Collection (mmol/L)","Potassium, Urine PM Collection (mmol/L)",," Both males and females 20 YEARS - 69 YEARS",,,chear:millimole_per_liter,,,,,,,,
URHKE   ,"Potassium, Urine PM Collection (mg/dL)","Potassium, Urine PM Collection (mg/dL)",," Both males and females 20 YEARS - 69 YEARS",,,chear:milligram_per_deciliter,,,,,,,,
URDKELC ,"Potassium, Urine PM Comment Code","Potassium, Urine PM Comment Code",," Both males and females 20 YEARS - 69 YEARS",,,uberon:0001088,,,,,,,,
URHCLESI,"Chloride, Urine PM Collection (mmol/L)","Chloride, Urine PM Collection (mmol/L)",," Both males and females 20 YEARS - 69 YEARS",,,chear:millimole_per_liter,,,,,,,,
URHCLE  ,"Chloride, Urine PM Collection (mg/dL)","Chloride, Urine PM Collection (mg/dL)",," Both males and females 20 YEARS - 69 YEARS",,,chear:milligram_per_deciliter,,,,,,,,
URDCLELC,"Chloride, Urine PM Comment Code","Chloride, Urine PM Comment Code",," Both males and females 20 YEARS - 69 YEARS",,,uberon:0001088,,,,,,,,
URHCRE  ,"Creatinine, Urine PM Collection (mg/dL)","Creatinine, Urine PM Collection (mg/dL)",," Both males and females 20 YEARS - 69 YEARS",,,chear:milligram_per_deciliter,,,,,,,,
VPSU,"Variance PSU ","Variance primary sampling unit (PSU)",," Both males and females 20 YEARS - 69 YEARS",,,,,,,,,,,
VSTRA,"Variance stratum","Variance stratum",," Both males and females 20 YEARS - 69 YEARS",,,,,,,,,,,
WT1YUR,"1 year urine weight","1 year urine weight",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUR01,"1 year urine weight - Jackknife 01","1 year urine weight: Jackknife replicate weight 01",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUR02,"1 year urine weight - Jackknife 02","1 year urine weight: Jackknife replicate weight 02",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUR03,"1 year urine weight - Jackknife 03","1 year urine weight: Jackknife replicate weight 03",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUR04,"1 year urine weight - Jackknife 04","1 year urine weight: Jackknife replicate weight 04",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
